official_name	occurrences	name_type	capitalized_case
kids cough	7	brand	Kids Cough
Kids Crest Bubblegum Flavor	1	brand	Kids Crest Bubblegum Flavor
Kids Crest Cavity Protection Sparkle Fun	1	brand	Kids Crest Cavity Protection Sparkle Fun
Kids Crest Grape Flavor	1	brand	Kids Crest Grape Flavor
Kids Crest Sesame Street	1	brand	Kids Crest Sesame Street
Kids Crest Spiderman	1	brand	Kids Crest Spiderman
Kids Ear Relief	1	brand	Kids Ear Relief
Kids Irritated Eye Relief	1	brand	Kids Irritated Eye Relief
Kineret	1	brand	Kineret
KINEVAC	1	brand	Kinevac
Kionex	2	brand	Kionex
KIT FOR THE PREPARATION OF TC 99M PYROPHOSPHATE	1	brand	Kit For The Preparation Of Tc 99M Pyrophosphate
KIT FOR THE PREPARATION OF TECHNETIUM TC 99M ALBUMIN AGGREGATED	1	generic	Kit For The Preparation Of Technetium Tc 99M Albumin Aggregated
KIT FOR THE PREPARATION OF TECHNETIUM TC 99M MEBROFENIN	1	generic	Kit For The Preparation Of Technetium Tc 99M Mebrofenin
KIT FOR THE PREPARATION OF TECHNETIUM TC 99M MEDRONATE	1	brand	Kit For The Preparation Of Technetium Tc 99M Medronate
KIT FOR THE PREPARATION OF TECHNETIUM TC 99M SESTAMIBI	1	brand	Kit For The Preparation Of Technetium Tc 99M Sestamibi
Kit for the Preparation of Technetium Tc99m Disofenin	1	brand	Kit For The Preparation Of Technetium Tc99M Disofenin
Kit for the Preparation of Technetium Tc99m Pyrophosphate	1	brand	Kit For The Preparation Of Technetium Tc99M Pyrophosphate
Kit for the Preparation of Technetium Tc99m Sestamibi	2	brand	Kit For The Preparation Of Technetium Tc99M Sestamibi
KIT FOR THE PREPARATION OF TECHNETIUM TC99M SESTAMIBI INJECTION	1	generic	Kit For The Preparation Of Technetium Tc99M Sestamibi Injection
KleerSight	1	brand	Kleersight
Klor-Con	5	brand	Klor-Con
Kmart Corporation Healthy Protection	1	brand	Kmart Corporation Healthy Protection
Kmart Corporation Maximum Strength	1	brand	Kmart Corporation Maximum Strength
KMart Corporation Prisim White	1	brand	Kmart Corporation Prisim White
KMart Corporation Radiant White	1	brand	Kmart Corporation Radiant White
KNOCKOUT HAND SANITIZER	1	brand	Knockout Hand Sanitizer
kolorz	3	brand	Kolorz
Kroger Company Radiant White	1	brand	Kroger Company Radiant White
Kroger Extra Whitening	1	brand	Kroger Extra Whitening
Kroger Sensitive	1	brand	Kroger Sensitive
Kroger Sport Sunscreen SPF 30	3	brand	Kroger Sport Sunscreen Spf 30
Krystexxa	1	brand	Krystexxa
L-CYSTEINE HYDROCHLORIDE	3	generic	L-Cysteine Hydrochloride
La Jiao Feng Shi Gao	1	brand	La Jiao Feng Shi Gao
LABETALOL	1	generic	Labetalol
LABETALOL HCL	2	generic	Labetalol Hcl
LABETALOL HYDROCHLORIDE	7	generic	Labetalol Hydrochloride
LACHESIS BELLADONNA	3	generic	Lachesis Belladonna
LACHESIS MUTA VENOM	1	generic	Lachesis Muta Venom
LACHESIS MUTUS	5	brand	Lachesis Mutus
LACOSAMIDE	1	generic	Lacosamide
LACRI-LUBE	1	generic	Lacri-Lube
Lacrisert	1	brand	Lacrisert
Lactated Ringers	5	brand	Lactated Ringers
Lactated Ringers and Dextrose	2	brand	Lactated Ringers And Dextrose
Lactated Ringers Irrigation	1	brand	Lactated Ringers Irrigation
LACTIC ACID	3	generic	Lactic Acid
LACTIC ACID, L- AND VISCUM ALBUM AND COLCHICUM AUTUMNALE BULB AND CONIUM MACULATUM FLOWERING TOP AND GALIUM APARINE AND FUCUS VESICULOSUS AND SEDUM ACRE AND SEMPERVIVUM TECTORUM LEAF AND ADENOSINE TRI	1	generic	Lactic Acid, L- And Viscum Album And Colchicum Autumnale Bulb And Conium Maculatum Flowering Top And Galium Aparine And Fucus Vesiculosus And Sedum Acre And Sempervivum Tectorum Leaf And Adenosine Tri
LACTOCOCCUS LACTIS IMMUNOSERUM RABBIT, STREPTOCOCCUS PYOGENES IMMUNOSERUM RABBIT, STREPTOCOCCUS VIRIDANS GROUP IMMUNOSERUM RABBIT, STAPHYLOCOCCUS EPIDERMIDIS IMMUNOSERUM RABBIT, STAPHYLOCOCCUS AUREUS	2	generic	Lactococcus Lactis Immunoserum Rabbit, Streptococcus Pyogenes Immunoserum Rabbit, Streptococcus Viridans Group Immunoserum Rabbit, Staphylococcus Epidermidis Immunoserum Rabbit, Staphylococcus Aureus
LACTULOSE	3	generic	Lactulose
Lacura Extreme Blast anti-perspirant deodorant	1	brand	Lacura Extreme Blast Anti-Perspirant Deodorant
Lacura Invisible Solid Powder Fresh anti-perspirant deodorant	1	brand	Lacura Invisible Solid Powder Fresh Anti-Perspirant Deodorant
Lacura Invisible Solid Shower Fresh anti-perspirant deodorant	1	brand	Lacura Invisible Solid Shower Fresh Anti-Perspirant Deodorant
Lacura Ultimate Endurance Pure Sport anti-perspirant deodorant	1	brand	Lacura Ultimate Endurance Pure Sport Anti-Perspirant Deodorant
Lagicam antifungal	1	brand	Lagicam Antifungal
Lamisil AT	3	brand	Lamisil At
LAMIVUDINE	26	generic	Lamivudine
LAMIVUDINE AND ZIDOVUDINE	23	generic	Lamivudine And Zidovudine
LAMOTRIGINE	86	generic	Lamotrigine
LANOLIN	11	generic	Lanolin
LANOLIN AND PETROLATUM	8	generic	Lanolin And Petrolatum
LANOLIN, PETROLATUM	14	generic	Lanolin, Petrolatum
LANOXIN	2	brand	Lanoxin
LANREOTIDE ACETATE	1	generic	Lanreotide Acetate
LANSOPRAZOLE	89	generic	Lansoprazole
Lantus	5	brand	Lantus
LARGE MOLECULE FLUORESCEIN	1	generic	Large Molecule Fluorescein
LARICIFOMES OFFICINALIS FRUITING BODY	3	generic	Laricifomes Officinalis Fruiting Body
LARONIDASE	1	generic	Laronidase
LASTACAFT	3	brand	Lastacaft
LATANOPROST	14	generic	Latanoprost
LATISSE	1	brand	Latisse
Laura Lynn Anticavity	1	brand	Laura Lynn Anticavity
Laura Lynn Anticavity Whitening plus Mouthwash	1	brand	Laura Lynn Anticavity Whitening Plus Mouthwash
Laura Lynn Extra Whitening Sensitive	1	brand	Laura Lynn Extra Whitening Sensitive
Lavender Sap Patch	4	brand	Lavender Sap Patch
Laxative	4	brand	Laxative
Laxative Pills Maximum Strength	6	brand	Laxative Pills Maximum Strength
LAZANDA	1	brand	Lazanda
LBEL DRY EFFECT 48	3	brand	Lbel Dry Effect 48
LBEL EFFET PARFAIT	4	brand	Lbel Effet Parfait
LBel Effet Parfit	3	brand	Lbel Effet Parfit
LBEL PROTEGE EXPERT	4	brand	Lbel Protege Expert
LE TECHNIQ SPRING FRESH	4	brand	Le Techniq Spring Fresh
LEADER	1	generic	Leader
leader acid reducer complete	3	brand	Leader Acid Reducer Complete
LEADER ADVANCED FORMULA	1	brand	Leader Advanced Formula
LEADER ADVANCED FORMULA EYE DROPS	1	brand	Leader Advanced Formula Eye Drops
Leader Allergy Eye	1	brand	Leader Allergy Eye
leader antacid	3	brand	Leader Antacid
leader childrens pain and fever	3	brand	Leader Childrens Pain And Fever
LEADER DRY EYE RELIEF	2	brand	Leader Dry Eye Relief
Leader Enema	3	brand	Leader Enema
Leader enema mineral oil ready to use	1	brand	Leader Enema Mineral Oil Ready To Use
Leader Extra Moisturizing Nasal	1	brand	Leader Extra Moisturizing Nasal
LEADER EYE ITCH RELIEF DROPS	1	brand	Leader Eye Itch Relief Drops
LEADER HEMORRHOIDAL	1	brand	Leader Hemorrhoidal
Leader Lubricant Eye	1	brand	Leader Lubricant Eye
LEADER LUBRICANT EYE DROPS	2	brand	Leader Lubricant Eye Drops
LEADER LUBRICATING EYE DROP	1	brand	Leader Lubricating Eye Drop
LEADER LUBRICATING EYE DROPS	1	brand	Leader Lubricating Eye Drops
Leader Lubricating plus	1	brand	Leader Lubricating Plus
Leader Medicated	3	brand	Leader Medicated
Leader Nasal	1	brand	Leader Nasal
leader nicotine	5	brand	Leader Nicotine
leader nite time	3	brand	Leader Nite Time
leader nose	1	brand	Leader Nose
LEADER ORIGINAL FORMULA	1	brand	Leader Original Formula
LEADER ORIGINAL FORMULA EYE DROPS	1	brand	Leader Original Formula Eye Drops
LEADER ORIGINAL NASAL	1	brand	Leader Original Nasal
LEADER RELIEF	1	brand	Leader Relief
LEADER RELIEF EYE	1	brand	Leader Relief Eye
LEADER SEVERE CONGESTION NASAL	1	brand	Leader Severe Congestion Nasal
leader tioconastat 1 1 dose treatment	1	brand	Leader Tioconastat 1 1 Dose Treatment
Ledum Palustre 30c	1	brand	Ledum Palustre 30C
LEDUM PALUSTRE TWIG	1	generic	Ledum Palustre Twig
LEDUM PALUSTRE TWIG AND URTICA URENS AND AESCULUS HIPPOCASTANUM FLOWER AND GALIUM APARINE AND STRYCHNOS IGNATII SEED AND ARCTIUM LAPPA ROOT AND PHOSPHORIC ACID AND SUS SCROFA SKIN AND THUJA OCCIDENTALIS LEAFY TWIG AND FUMARIC ACID AND SUS SCROFA UMBILICAL CORD AND SUS SCROFA ADRENAL GLAND AND PORK LIVER AND .ALPHA.-KETOGLUTARIC ACID AND SODIUM DIETHYL OXALACETATE AND SUS SCROFA PLACENTA AND SELENIUM AND SUS SCROFA SPLEEN	1	generic	Ledum Palustre Twig And Urtica Urens And Aesculus Hippocastanum Flower And Galium Aparine And Strychnos Ignatii Seed And Arctium Lappa Root And Phosphoric Acid And Sus Scrofa Skin And Thuja Occidentalis Leafy Twig And Fumaric Acid And Sus Scrofa Umbilical Cord And Sus Scrofa Adrenal Gland And Pork Liver And .Alpha.-Ketoglutaric Acid And Sodium Diethyl Oxalacetate And Sus Scrofa Placenta And Selenium And Sus Scrofa Spleen
LEFLUNOMIDE	11	generic	Leflunomide
Leg Cramps Relief	1	brand	Leg Cramps Relief
LEMON	1	generic	Lemon
LEMON CHINESE QUINCE EXTRACT BERBERIS VULGARIS FRUIT SILICON DIOXIDE	1	generic	Lemon Chinese Quince Extract Berberis Vulgaris Fruit Silicon Dioxide
LEMON GINGER TEA DEODORANT	1	brand	Lemon Ginger Tea Deodorant
LEMON OIL	1	generic	Lemon Oil
Lemon Quince Allergy Relief	1	brand	Lemon Quince Allergy Relief
Lemon Verbena Antibacterial Foaming Hand Wash	3	brand	Lemon Verbena Antibacterial Foaming Hand Wash
Lemon Zest Antibacterial Foaming Hand Wash	8	brand	Lemon Zest Antibacterial Foaming Hand Wash
LenzaGel	3	brand	Lenzagel
LETROZOLE	18	generic	Letrozole
LEUCINE, LYSINE, ISOLEUCINE, VALINE, HISTIDINE, PHENYLALANINE, THREONINE, METHIONINE, TRYPTOPHAN, TYROSINE, N-ACETYL-TYROSINE, ARGININE, PROLINE, ALANINE, GLUTAMIC ACIDE, SERINE, GLYCINE, ASPARTIC ACID, TAURINE, CYSTEINE HYDROCHLORIDE	1	generic	Leucine, Lysine, Isoleucine, Valine, Histidine, Phenylalanine, Threonine, Methionine, Tryptophan, Tyrosine, N-Acetyl-Tyrosine, Arginine, Proline, Alanine, Glutamic Acide, Serine, Glycine, Aspartic Acid, Taurine, Cysteine Hydrochloride
LEUCINE, PHENYLALANINE, LYSINE HYDROCHLORIDE, METHIONINE, ISOLEUCINE, VALINE, HISTIDINE, THREONINE, TRYPTOPHAN, ALANINE, GLYCINE, ARGININE, PROLINE, TYROSINE, SERINE	1	generic	Leucine, Phenylalanine, Lysine Hydrochloride, Methionine, Isoleucine, Valine, Histidine, Threonine, Tryptophan, Alanine, Glycine, Arginine, Proline, Tyrosine, Serine
LEUCINE, PHENYLALANINE, LYSINE, METHIONINE, ISOLEUCINE, VALINE, HISTIDINE, THREONINE, TRYPTOPHAN, ALANINE, GLYCINE, ARGININE, PROLINE, SERINE, TYROSINE, DEXTROSE	1	generic	Leucine, Phenylalanine, Lysine, Methionine, Isoleucine, Valine, Histidine, Threonine, Tryptophan, Alanine, Glycine, Arginine, Proline, Serine, Tyrosine, Dextrose
LEUCINE, PHENYLALANINE, LYSINE, METHIONINE, ISOLEUCINE, VALINE, HISTIDINE, THREONINE, TRYPTOPHAN, ALANINE, GLYCINE, ARGININE, PROLINE, SERINE, TYROSINE, SODIUM ACETATE, DIBASIC POTASSIUM PHOSPHATE, MA	1	generic	Leucine, Phenylalanine, Lysine, Methionine, Isoleucine, Valine, Histidine, Threonine, Tryptophan, Alanine, Glycine, Arginine, Proline, Serine, Tyrosine, Sodium Acetate, Dibasic Potassium Phosphate, Ma
Leucovorin	2	brand	Leucovorin
LEUCOVORIN CALCIUM	6	generic	Leucovorin Calcium
Leukine	2	brand	Leukine
Leukotrap - CP2D Solution	1	brand	Leukotrap - Cp2D Solution
LEUPROLIDE ACETATE	1	brand	Leuprolide Acetate
LEVALBUTEROL	3	generic	Levalbuterol
LEVALBUTEROL HYDROCHLORIDE	12	generic	Levalbuterol Hydrochloride
levalbuterol inhalation	1	brand	Levalbuterol Inhalation
LEVALBUTEROL INHALATION 1.25MG/3ML	1	generic	Levalbuterol Inhalation 1.25Mg/3Ml
LEVAQUIN	15	brand	Levaquin
Level Anticavity	1	brand	Level Anticavity
LEVEL HERBAL MINT FIVE SENSITIVE FORMULA ANTICAVITY	1	brand	Level Herbal Mint Five Sensitive Formula Anticavity
LEVEL WINTERMINT FIVE WHITENING FORMULA ANTICAVITY	1	brand	Level Wintermint Five Whitening Formula Anticavity
Levemir	1	brand	Levemir
LEVETIRACETAM	2	brand	Levetiracetam
Levitra	6	brand	Levitra
LEVMETAMFETAMINE	1	generic	Levmetamfetamine
LEVMETAMFETAMINE NASAL DECONGESTANT	3	generic	Levmetamfetamine Nasal Decongestant
LEVOBUNOLOL HYDROCHLORIDE	1	brand	Levobunolol Hydrochloride
LEVOCARNITINE	4	generic	Levocarnitine
LEVOCETIRIZINE DIHYDROCHLORIDE	23	generic	Levocetirizine Dihydrochloride
LEVOFLOXACIN	4	generic	Levofloxacin
LEVOLEUCOVORIN	1	generic	Levoleucovorin
LEVOMEFOLATE CALCIUM AND ALGAL POWDER	3	generic	Levomefolate Calcium And Algal Powder
LEVOMENOL	2	generic	Levomenol
LEVONORGESTREL	1	generic	Levonorgestrel
LEVONORGESTREL AND ETHINYL ESTRADIOL	8	generic	Levonorgestrel And Ethinyl Estradiol
LEVOPHED	3	brand	Levophed
LEVOTHYROXINE SODIUM	158	generic	Levothyroxine Sodium
LEVOTHYROXINE SODIUM ANHYDROUS	2	generic	Levothyroxine Sodium Anhydrous
LEVOTHYROXINE, LIOTHYRONINE	5	generic	Levothyroxine, Liothyronine
Levsin	1	brand	Levsin
LEXAPRO	1	brand	Lexapro
Lexiscan	1	brand	Lexiscan
Lice Killing	3	brand	Lice Killing
Lice Treatment	10	brand	Lice Treatment
LIDOCAINE	2	generic	Lidocaine
LIDOCAINE 5%	2	generic	Lidocaine 5%
LIDOCAINE AND MENTHOL	2	generic	Lidocaine And Menthol
LIDOCAINE AND PRILOCAINE	12	generic	Lidocaine And Prilocaine
LIDOCAINE AND TETRACAINE	2	generic	Lidocaine And Tetracaine
LIDOCAINE HCL	13	generic	Lidocaine Hcl
Lidocaine HCl - Hydrocortisone Acetate	4	brand	Lidocaine Hcl - Hydrocortisone Acetate
Lidocaine HCl - Hydrocortisone Acetate with Aloe	1	brand	Lidocaine Hcl - Hydrocortisone Acetate With Aloe
LIDOCAINE HCL AND HYDROCORTISONE ACETATE	5	generic	Lidocaine Hcl And Hydrocortisone Acetate
LIDOCAINE HYDROCHLORIDE	1	brand	Lidocaine Hydrochloride
Lidocaine Hydrochloride and Dextrose	3	brand	Lidocaine Hydrochloride And Dextrose
LIDOCAINE HYDROCHLORIDE AND DEXTROSE MONOHYDRATE	1	generic	Lidocaine Hydrochloride And Dextrose Monohydrate
LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE	2	generic	Lidocaine Hydrochloride And Epinephrine
LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE	21	generic	Lidocaine Hydrochloride And Epinephrine Bitartrate
LIDOCAINE HYDROCHLORIDE AND HYDROCORTISONE ACETATE	4	generic	Lidocaine Hydrochloride And Hydrocortisone Acetate
LIDOCAINE HYDROCHLORIDE ANHYDROUS	1	generic	Lidocaine Hydrochloride Anhydrous
LIDOCAINE HYDROCHLORIDE ANHYDROUS AND DEXTROSE MONOHYDRATE	1	generic	Lidocaine Hydrochloride Anhydrous And Dextrose Monohydrate
LIDOCAINE HYDROCHLORIDE ANHYDROUS AND EPINEPHRINE	19	generic	Lidocaine Hydrochloride Anhydrous And Epinephrine
LIDOCAINE HYDROCHLORIDE, BENZALKONIUM CHLORIDE	2	generic	Lidocaine Hydrochloride, Benzalkonium Chloride
LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE	1	generic	Lidocaine Hydrochloride, Bupivacaine Hydrochloride, Povidine Iodine
LIDOCAINE HYDROCHLORIDE, EPINEPHRINE BITARTRATE INJECTION, SOLUTION	1	generic	Lidocaine Hydrochloride, Epinephrine Bitartrate Injection, Solution
LIDOCAINE HYDROCHLORIDE, GLYCERIN	2	generic	Lidocaine Hydrochloride, Glycerin
LIDOCAINE HYDROCHLORIDE, MENTHOL	6	generic	Lidocaine Hydrochloride, Menthol
LIDOCAINE HYDROCHLORIDE,EPINEPHRINE BITARTRATE	1	generic	Lidocaine Hydrochloride,Epinephrine Bitartrate
LIDOCAINE MENTHOL	3	generic	Lidocaine Menthol
LIDOCAINE, BENZALKONIUM CHLORIDE	4	generic	Lidocaine, Benzalkonium Chloride
LIDOCAINE, KENALOG, POVIDONE IODINE	1	generic	Lidocaine, Kenalog, Povidone Iodine
LIDOCAINE, MENTHOL	6	generic	Lidocaine, Menthol
LidoCream 5	6	brand	Lidocream 5
LIDODERM	1	generic	Lidoderm
Lidoderm 5	1	brand	Lidoderm 5
Lidolog Kit	1	brand	Lidolog Kit
LidoPatch Pain Relief	2	brand	Lidopatch Pain Relief
LIGHT MINERAL OIL AND MINERAL OIL	1	generic	Light Mineral Oil And Mineral Oil
LIGHT MINERAL OIL, WHITE PETROLATUM	1	generic	Light Mineral Oil, White Petrolatum
Lignospan Forte	1	brand	Lignospan Forte
Lignospan Standard	1	brand	Lignospan Standard
LINAGLIPTIN	3	generic	Linagliptin
LINDANE	4	generic	Lindane
LINEZOLID	5	generic	Linezolid
Lioresal	1	brand	Lioresal
LIOTHYRONINE SODIUM	1	generic	Liothyronine Sodium
LIOTHYRONINE SODIUM INJECTION	1	generic	Liothyronine Sodium Injection
LIP BALM	3	generic	Lip Balm
LIP PROTECTANT SUNSCREEN	4	generic	Lip Protectant Sunscreen
LipiGesic M	1	brand	Lipigesic M
LIPIODOL	1	brand	Lipiodol
LIPITOR	1	brand	Lipitor
LIPODOX	1	brand	Lipodox
Liposyn II	1	brand	Liposyn Ii
Liposyn III	1	brand	Liposyn Iii
LIQUID CORN AND CALLUS REMOVER	3	generic	Liquid Corn And Callus Remover
Liquid Hand Cleanse	3	brand	Liquid Hand Cleanse
LIQUID OXYGEN	3	generic	Liquid Oxygen
Liquid Polibar Plus	1	brand	Liquid Polibar Plus
LIQUID WART REMOVER	2	generic	Liquid Wart Remover
LiquiTears	2	brand	Liquitears
LISDEXAMFETAMINE DIMESYLATE	3	generic	Lisdexamfetamine Dimesylate
LISINOPRIL	11	brand	Lisinopril
LISINOPRIL AND HYDROCHLOROTHIAZIDE	25	brand	Lisinopril And Hydrochlorothiazide
LISSAMINE GREEN	1	generic	Lissamine Green
LISTERINE TOTAL CARE Anticavity - Fresh Mint	1	brand	Listerine Total Care Anticavity - Fresh Mint
Listerine Total Care Plus Whitening	1	brand	Listerine Total Care Plus Whitening
LITHIUM CARBONATE	59	generic	Lithium Carbonate
Little Noses Decongestant Nose Drops	1	brand	Little Noses Decongestant Nose Drops
Live Better Extra Whitening	2	brand	Live Better Extra Whitening
LIVESTS Moist Liquid	3	brand	Livests Moist Liquid
LMD in Dextrose	1	brand	Lmd In Dextrose
LOBELIA QUERCUS	3	generic	Lobelia Quercus
Locoid	5	brand	Locoid
LODOXAMIDE TROMETHAMINE	1	generic	Lodoxamide Tromethamine
Loesch Original Kleer-Plex Antimicrobial Face and Body Wash	1	brand	Loesch Original Kleer-Plex Antimicrobial Face And Body Wash
Lollicaine Bubble Gum	1	brand	Lollicaine Bubble Gum
LOMUSTINE	3	generic	Lomustine
Long-Lasting Wicked Fresh - Cool Peppermint	1	brand	Long-Lasting Wicked Fresh - Cool Peppermint
Long-Lasting Wicked Fresh - Spearmint Ice	2	brand	Long-Lasting Wicked Fresh - Spearmint Ice
LOPERAMIDE HCL	64	generic	Loperamide Hcl
LOPERAMIDE HYDROCHLORIDE	104	generic	Loperamide Hydrochloride
LOPERAMIDES	3	generic	Loperamides
LOPINAVIR AND RITONAVIR	8	generic	Lopinavir And Ritonavir
Lopressor	1	brand	Lopressor
LORATADINE	204	generic	Loratadine
LORATADINE AND PSEUDOEPHEDRINE	10	generic	Loratadine And Pseudoephedrine
LORATADINE AND PSEUDOEPHEDRINE SULFATE	20	generic	Loratadine And Pseudoephedrine Sulfate
Loratadine antihistamine	4	brand	Loratadine Antihistamine
LORATADINE, PSEUDOEPHEDRINE	23	generic	Loratadine, Pseudoephedrine
LORATADINE, PSEUDOEPHEDRINE SULFATE	16	generic	Loratadine, Pseudoephedrine Sulfate
LORAZEPAM	11	generic	Lorazepam
Lornamead Natural White	3	brand	Lornamead Natural White
Lortab	4	brand	Lortab
LOSARTAN POTASSIUM	80	generic	Losartan Potassium
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE	45	generic	Losartan Potassium And Hydrochlorothiazide
Losortan Potassium	9	brand	Losortan Potassium
LOTEMAX	3	brand	Lotemax
LOTEPREDNOL ETABONATE	6	generic	Loteprednol Etabonate
LOTEPREDNOL ETABONATE AND TOBRAMYCIN	1	generic	Loteprednol Etabonate And Tobramycin
Lotrimin Antifungal	5	brand	Lotrimin Antifungal
LOVASTATIN	4	brand	Lovastatin
Lovenox	6	brand	Lovenox
Low Dose Aspirin	10	brand	Low Dose Aspirin
LOXAPINE	1	generic	Loxapine
LOXAPINE SUCCINATE	7	generic	Loxapine Succinate
Lubas	1	brand	Lubas
LUBIPROSTONE	5	generic	Lubiprostone
Lubricant / Redness Reliever	1	brand	Lubricant / Redness Reliever
lubricant and redness reliever	1	brand	Lubricant And Redness Reliever
Lubricant Eye	5	brand	Lubricant Eye
LUBRICANT EYE DROPS	2	generic	Lubricant Eye Drops
Lubricant Eye Plus	1	brand	Lubricant Eye Plus
Lubricant PM	1	brand	Lubricant Pm
lubricating plus	2	brand	Lubricating Plus
lubricating plus eye	1	brand	Lubricating Plus Eye
lubricating relief	1	brand	Lubricating Relief
LubriFresh P.M.	2	brand	Lubrifresh P.M.
LUCINACTANT	1	generic	Lucinactant
Lucky Antibacterial Hand Soap Supersoft	7	brand	Lucky Antibacterial Hand Soap Supersoft
Lucky Super Soft Anti Cavity with Free Toothbrush	1	brand	Lucky Super Soft Anti Cavity With Free Toothbrush
Lucky Super Soft Sensitive	1	brand	Lucky Super Soft Sensitive
Lucky Super Soft Whitening Anti Cavity with Free Toothbrush	1	brand	Lucky Super Soft Whitening Anti Cavity With Free Toothbrush
LUFFA OPERCULATA, SABADILLA	2	generic	Luffa Operculata, Sabadilla
Luffeel	2	brand	Luffeel
LUICHEL SHINY CAKE NO 21 GOLD GIFT SET	1	brand	Luichel Shiny Cake No 21 Gold Gift Set
LUICHEL SHINY CAKE NO 23 GOLD GIFT SET	1	brand	Luichel Shiny Cake No 23 Gold Gift Set
LUICHEL SHINY CAKE NO 33 GOLD GIFT SET	1	brand	Luichel Shiny Cake No 33 Gold Gift Set
LUMIGAN	2	brand	Lumigan
Lumizyme	1	brand	Lumizyme
Lunesta	11	brand	Lunesta
LUSEDRA	1	brand	Lusedra
LUSTER NOW INSTANT WHITENING	1	brand	Luster Now Instant Whitening
LUTROPIN ALFA	1	generic	Lutropin Alfa
Luveris	1	brand	Luveris
LYCOPODIUM CLAVATUM	1	brand	Lycopodium Clavatum
LYCOPODIUM CLAVATUM SPORE	1	generic	Lycopodium Clavatum Spore
LYCOPODIUM CLAVATUM, PULSATILLA,	3	generic	Lycopodium Clavatum, Pulsatilla,
LYMPHAZURIN	1	brand	Lymphazurin
Lymphomyosot	2	brand	Lymphomyosot
Lymphomyosot X	1	brand	Lymphomyosot X
Lyrica	40	brand	Lyrica
LYSINE ACETATE, LEUCINE, PHENYLALANINE, VALINE, ISOLEUCINE, METHIONINE, THREONINE, TRYPTOPHAN, ALANINE, ARGININE, GLYCINE, HISTIDINE, PROLINE, GLUTAMIC ACID, SERINE, ASPARTIC ACID, AND TYROSINE	2	generic	Lysine Acetate, Leucine, Phenylalanine, Valine, Isoleucine, Methionine, Threonine, Tryptophan, Alanine, Arginine, Glycine, Histidine, Proline, Glutamic Acid, Serine, Aspartic Acid, And Tyrosine
LYSINE, LEUCINE, PHENYLALANINE, VALINE, HISTIDINE, ISOLEUCINE, METHIONINE, THREONINE, TRYPTOPHAN, ALANINE, ARGININE, GLYCINE, PROLINE, GLUTAMIC ACID, SERINE, ASPARTIC ACID, TYROSINE	1	generic	Lysine, Leucine, Phenylalanine, Valine, Histidine, Isoleucine, Methionine, Threonine, Tryptophan, Alanine, Arginine, Glycine, Proline, Glutamic Acid, Serine, Aspartic Acid, Tyrosine
Lysol No Touch	14	brand	Lysol No Touch
Lysol No-Touch	8	brand	Lysol No-Touch
Lysol Touch of Foam	5	brand	Lysol Touch Of Foam
LYTTA VESICATORIA	1	generic	Lytta Vesicatoria
LYTTA VESICATORIA,CAUSTICUM,EQUISETUM HYEMALE,CHONDRODENDRON TOMENTOSUM ROOT,SAW PALMETTO,SEPIA OFFICINALIS JUICE, DELPHINIUM STAPHISAGRIA SEED,	1	generic	Lytta Vesicatoria,Causticum,Equisetum Hyemale,Chondrodendron Tomentosum Root,Saw Palmetto,Sepia Officinalis Juice, Delphinium Staphisagria Seed,
Macugen	1	brand	Macugen
MAFENIDE ACETATE	2	generic	Mafenide Acetate
MAGESIUM CITRATE	29	generic	Magesium Citrate
MAGNESIA MURIATICA	1	brand	Magnesia Muriatica
MAGNESIA PHOSPHORICA	3	generic	Magnesia Phosphorica
MAGNESIUM ASCORBYL PHOSPHATE	2	generic	Magnesium Ascorbyl Phosphate
MAGNESIUM CATION	3	generic	Magnesium Cation
MAGNESIUM CHLORIDE	5	generic	Magnesium Chloride
MAGNESIUM CHLORIDE, DEXTROSE MONOHYDRATE, LACTIC ACID, SODIUM CHLORIDE, SODIUM BICARBONATE, AND POTASSIUM CHLORIDE	2	generic	Magnesium Chloride, Dextrose Monohydrate, Lactic Acid, Sodium Chloride, Sodium Bicarbonate, And Potassium Chloride
MAGNESIUM CITRATE	43	generic	Magnesium Citrate
MAGNESIUM HYDROXIDE	96	generic	Magnesium Hydroxide
MAGNESIUM OXIDE	6	generic	Magnesium Oxide
MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE	4	generic	Magnesium Phosphate, Dibasic Trihydrate
MAGNESIUM SALICYLATE	3	generic	Magnesium Salicylate
MAGNESIUM SALICYLATE TETRAHYDRATE	4	generic	Magnesium Salicylate Tetrahydrate
MAGNESIUM SULFATE	3	generic	Magnesium Sulfate
MAGNESIUM SULFATE CRYSTAL	2	generic	Magnesium Sulfate Crystal
MAGNESIUM SULFATE HEPTAHYDRATE	14	generic	Magnesium Sulfate Heptahydrate
Magnesium Sulfate in Dextrose	1	brand	Magnesium Sulfate In Dextrose
Magnevist	2	brand	Magnevist
Major Prep Hemorrhoidal	3	brand	Major Prep Hemorrhoidal
Major Redness Reliever Eye	1	brand	Major Redness Reliever Eye
Makena	1	brand	Makena
MakeSense	2	brand	Makesense
MALATHION	5	generic	Malathion
